instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question1.I take good care of myself.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.",survey.block_1/question3.I take good care of myself.,"survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,survey.block_1/question4.I balance my own needs with the needs of others.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.",survey.block_1/question4.I take good care of myself.,"survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,15.5757,16.6259,15.0929,15.5757,4,0.4763,,0,6,6,3,1,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,17.0756,18.1255,16.6267,17.0755,1,0.4384,,0,7,7,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,18.6091,19.659,18.1257,18.6091,2,0.4697,,0,8,8,9,1,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,20.1926,21.2425,19.6592,20.1925,3,0.5288,,0,9,9,0,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,21.2428,23.5096,space,2.2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,23.5096,24.5594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,27.11,28.1598,,,,,,,,,,,,,,,,,,24.5622,27.1098,4,2.5298,,0,0,0,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,29.0097,30.0597,,,,,,,,,,,,,,,,,,28.1605,29.0096,3,0.8422,,0,1,1,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,30.8267,31.8763,,,,,,,,,,,,,,,,,,30.0602,30.8266,4,0.759,,0,2,2,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,32.3766,33.4266,,,,,,,,,,,,,,,,,,31.8765,32.3766,2,0.4956,,0,3,3,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,33.8935,34.9432,,,,,,,,,,,,,,,,,,33.4269,33.8935,3,0.4498,,0,4,4,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,35.3601,36.41,,,,,,,,,,,,,,,,,,34.9435,35.36,4,0.412,,0,5,5,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,36.8434,37.8937,,,,,,,,,,,,,,,,,,36.4103,36.8434,1,0.4177,,0,6,6,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,38.6107,39.6602,,,,,,,,,,,,,,,,,,37.894,38.6106,4,0.7017,,0,7,7,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,40.1444,41.1936,,,,,,,,,,,,,,,,,,39.6605,40.1444,4,0.473,,0,8,8,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,41.6104,42.6602,,,,,,,,,,,,,,,,,,41.194,41.6104,4,0.4018,,0,9,9,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,43.2604,44.3106,,,,,,,,,,,,,,,,,,42.6604,43.2604,3,0.5832,,0,10,10,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,44.8774,45.9277,,,,,,,,,,,,,,,,,,44.311,44.8773,2,0.5559,,0,11,11,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,46.4774,47.5271,,,,,,,,,,,,,,,,,,45.9285,46.4774,4,0.5368,,0,12,12,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,47.8447,48.894,,,,,,,,,,,,,,,,,,47.5274,47.8446,1,0.3016,,0,13,13,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,49.1776,50.2274,,,,,,,,,,,,,,,,,,48.8943,49.1776,2,0.2781,,0,14,14,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,50.7277,51.7777,,,,,,,,,,,,,,,,,,50.2276,50.7276,1,0.4887,,0,15,15,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,52.9445,53.9943,,,,,,,,,,,,,,,,,,51.7782,52.9444,1,1.1603,,0,16,16,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,54.9114,55.9612,,,,,,,,,,,,,,,,,,53.9946,54.9113,4,0.9052,,0,17,17,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,56.9612,58.0114,,,,,,,,,,,,,,,,,,55.9614,56.9612,3,0.9862,,0,18,18,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,60.0282,61.0783,,,,,,,,,,,,,,,,,,58.0117,60.028,4,2.0074,,0,19,19,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,63.1784,64.2283,,,,,,,,,,,,,,,,,,61.0786,63.1784,3,2.0925,,0,20,20,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,65.5618,66.6118,,,,,,,,,,,,,,,,,,64.2285,65.5617,4,1.327,,0,21,21,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,67.6619,68.7119,,,,,,,,,,,,,,,,,,66.612,67.6619,2,1.0399,,0,22,22,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,69.9455,70.9954,,,,,,,,,,,,,,,,,,68.7121,69.9454,3,1.2275,,0,23,23,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,73.0955,74.146,,,,,,,,,,,,,,,,,,70.9956,73.0955,4,2.0875,,0,24,24,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,75.4959,76.5457,,,,,,,,,,,,,,,,,,74.1468,75.4959,2,1.3347,,0,25,25,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,77.0464,78.0958,,,,,,,,,,,,,,,,,,76.5459,77.0462,3,0.491,,0,26,26,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,78.5627,79.6125,,,,,,,,,,,,,,,,,,78.0961,78.5626,1,0.4518,,0,27,27,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,79.98,81.0291,,,,,,,,,,,,,,,,,,79.6127,79.9799,3,0.3604,,0,28,28,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,81.4295,82.4795,,,,,,,,,,,,,,,,,,81.0293,81.4294,4,0.3846,,0,29,29,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,82.7464,83.7962,,,,,,,,,,,,,,,,,,82.4798,82.7463,2,0.2605,,0,30,30,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,84.013,85.0633,,,,,,,,,,,,,,,,,,83.7966,84.0129,3,0.2062,,0,31,31,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,85.4131,86.4634,,,,,,,,,,,,,,,,,,85.0638,85.4131,2,0.3312,,0,32,32,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,86.8297,87.88,,,,,,,,,,,,,,,,,,86.464,86.8296,3,0.353,,0,33,33,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,88.4139,89.4632,,,,,,,,,,,,,,,,,,87.8804,88.4137,4,0.5175,,0,34,34,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17317,001,37,m,2026-07-10_13h41.12.703,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,89.8469,90.8966,,,,,,,,,,,,,,,,,,89.4635,89.8469,4,0.3722,,0,35,35,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
