instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,23.0091,24.0581,22.7098,23.009,4,0,6,6,7,1,20,17,0.2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,24.3247,25.3736,24.0585,24.3246,3,0,7,7,9,1,34,12,0.2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,25.8401,26.8889,25.3739,25.84,4,0,8,8,5,1,20,10,0.4493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,27.1222,28.171,26.8894,27.1221,1,0,9,9,1,1,18,9,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,28.1713,30.1907,space,1.9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,30.1908,31.2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,31.6684,32.7239,,,,,,,,,,,,,,,,,,31.2378,31.6684,3,0.4028,,0,0,0,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,33.0171,34.0726,,,,,,,,,,,,,,,,,,32.7243,33.0171,1,0.2749,,0,1,1,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,34.2565,35.2984,,,,,,,,,,,,,,,,,,34.0729,34.2564,4,0.167,,0,2,2,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,35.6649,36.714,,,,,,,,,,,,,,,,,,35.2988,35.6648,3,0.3382,,0,3,3,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,37.0209,38.0627,,,,,,,,,,,,,,,,,,36.7143,37.0208,2,0.2836,,0,4,4,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,38.4027,39.4513,,,,,,,,,,,,,,,,,,38.063,38.4027,3,0.3167,,0,5,5,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,39.7673,40.8103,,,,,,,,,,,,,,,,,,39.4516,39.7672,3,0.2992,,0,6,6,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,41.177,42.2155,,,,,,,,,,,,,,,,,,40.8107,41.1768,2,0.3391,,0,7,7,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,42.4257,43.4645,,,,,,,,,,,,,,,,,,42.2158,42.4256,1,0.1896,,0,8,8,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,43.758,44.8069,,,,,,,,,,,,,,,,,,43.4648,43.7579,3,0.2742,,0,9,9,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,47.8278,48.8766,,,,,,,,,,,,,,,,,,44.8073,47.8277,,,,0,10,10,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,49.2865,50.3354,,,,,,,,,,,,,,,,,,48.8769,49.2865,3,0.3887,,0,11,11,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,50.6755,51.7219,,,,,,,,,,,,,,,,,,50.3358,50.6755,3,0.3167,,0,12,12,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,52.1243,53.1664,,,,,,,,,,,,,,,,,,51.7221,52.1242,4,0.3828,,0,13,13,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,53.5231,54.5652,,,,,,,,,,,,,,,,,,53.1667,53.5231,1,0.3335,,0,14,14,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,54.7555,55.7975,,,,,,,,,,,,,,,,,,54.5656,54.7555,3,0.167,,0,15,15,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,56.0045,57.0464,,,,,,,,,,,,,,,,,,55.7982,56.0044,3,0.1836,,0,16,16,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,57.1132,58.1622,,,,,,,,,,,,,,,,,,57.0468,57.1131,2,0.0363,,0,17,17,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,58.5786,59.6275,,,,,,,,,,,,,,,,,,58.1626,58.5786,3,0.3882,,0,18,18,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,60.001,61.0431,,,,,,,,,,,,,,,,,,59.6279,60.001,1,0.3502,,0,19,19,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,61.1498,62.192,,,,,,,,,,,,,,,,,,61.0435,61.1497,3,0.0836,,0,20,20,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,62.442,63.4908,,,,,,,,,,,,,,,,,,62.1923,62.4419,3,0.2218,,0,21,21,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,63.8314,64.8731,,,,,,,,,,,,,,,,,,63.4912,63.8313,4,0.3171,,0,22,22,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,64.93,65.9721,,,,,,,,,,,,,,,,,,64.8734,64.9299,1,0.0336,,0,23,23,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,66.2789,67.321,,,,,,,,,,,,,,,,,,65.9725,66.2788,2,0.2836,,0,24,24,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,67.5876,68.642,,,,,,,,,,,,,,,,,,67.3213,67.5876,3,0.2357,,0,25,25,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,68.9865,70.0394,,,,,,,,,,,,,,,,,,68.6423,68.9864,4,0.317,,0,26,26,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,70.2254,71.2676,,,,,,,,,,,,,,,,,,70.0396,70.2254,1,0.167,,0,27,27,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,71.3244,72.3667,,,,,,,,,,,,,,,,,,71.2679,71.3243,2,0.0337,,0,28,28,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,72.3908,73.4323,,,,,,,,,,,,,,,,,,72.3671,72.3908,3,0.0006,,0,29,29,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,73.7559,74.7978,,,,,,,,,,,,,,,,,,73.4327,73.7557,4,0.3002,,0,30,30,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,75.2978,76.3364,,,,,,,,,,,,,,,,,,74.7982,75.2976,3,0.4688,,0,31,31,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,76.5201,77.5622,,,,,,,,,,,,,,,,,,76.3367,76.5201,3,0.167,,0,32,32,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,77.9121,78.961,,,,,,,,,,,,,,,,,,77.5626,77.9121,3,0.3192,,0,33,33,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,79.3151,80.3598,,,,,,,,,,,,,,,,,,78.9615,79.315,3,0.3308,,0,34,34,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,80.6431,81.692,,,,,,,,,,,,,,,,,,80.36,80.6431,1,0.2548,,0,35,35,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,81.7755,82.8244,,,,,,,,,,,,,,,,,,81.6923,81.7754,4,0.0503,,0,36,36,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14251,001,22,m,2026-07-09_16h45.05.618,Mixed_Gamble_Task,2026.1.3,Win32,60.60606061,,,,,,,,,,,82.8911,83.9299,,,,,,,,,,,,,,,,,,82.8248,82.891,1,0.0383,,0,37,37,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
