instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,66.1253,67.175,65.3338,66.1253,3,0,6,6,6,1,28,16,0.7845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,70.1836,71.2356,67.1754,70.1835,,0,7,7,8,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,74.2454,75.2911,71.2368,74.245,,0,8,8,2,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,78.2919,79.3416,75.2915,78.2918,,0,9,9,9,1,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,79.3421,83.8749,space,4.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,83.875,84.9275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,87.0086,88.0577,,,,,,,,,,,,,,,,,,84.931,87.0085,2,2.0623,,0,0,0,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,91.0693,92.1164,,,,,,,,,,,,,,,,,,88.0582,91.0685,,,,0,1,1,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,95.1251,96.1743,,,,,,,,,,,,,,,,,,92.1165,95.125,,,,0,2,2,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,97.9747,99.024,,,,,,,,,,,,,,,,,,96.1746,97.9745,2,1.7947,,0,3,3,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,101.2666,102.3164,,,,,,,,,,,,,,,,,,99.0242,101.2665,4,2.2345,,0,4,4,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,104.7014,105.7502,,,,,,,,,,,,,,,,,,102.3167,104.7013,2,2.3776,,0,5,5,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,107.3166,108.3618,,,,,,,,,,,,,,,,,,105.7511,107.3165,3,1.5555,,0,6,6,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,108.7416,109.7913,,,,,,,,,,,,,,,,,,108.3623,108.7414,2,0.371,,0,7,7,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,110.825,111.8746,,,,,,,,,,,,,,,,,,109.7917,110.825,2,1.0289,,0,8,8,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,112.8829,113.9329,,,,,,,,,,,,,,,,,,111.8749,112.8828,3,1.0035,,0,9,9,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,115.1915,116.2409,,,,,,,,,,,,,,,,,,113.9334,115.1914,2,1.2464,,0,10,10,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,117.3333,118.3851,,,,,,,,,,,,,,,,,,116.2414,117.3333,3,1.0882,,0,11,11,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,119.2358,120.2829,,,,,,,,,,,,,,,,,,118.386,119.2354,2,0.8408,,0,12,12,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,120.6414,121.6912,,,,,,,,,,,,,,,,,,120.2834,120.6414,3,0.354,,0,13,13,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,122.0525,123.0995,,,,,,,,,,,,,,,,,,121.6916,122.0524,2,0.3559,,0,14,14,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,124.7415,125.7941,,,,,,,,,,,,,,,,,,123.0998,124.7413,3,1.637,,0,15,15,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,127.8413,128.8911,,,,,,,,,,,,,,,,,,125.795,127.8413,2,2.0399,,0,16,16,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,130.9581,132.0073,,,,,,,,,,,,,,,,,,128.8914,130.958,2,2.0607,,0,17,17,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,132.7907,133.8405,,,,,,,,,,,,,,,,,,132.0076,132.7906,3,0.7792,,0,18,18,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,134.9114,135.9577,,,,,,,,,,,,,,,,,,133.8409,134.9112,3,1.0579,,0,19,19,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,136.5503,137.5984,,,,,,,,,,,,,,,,,,135.9581,136.5502,3,0.5887,,0,20,20,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,138.1747,139.2243,,,,,,,,,,,,,,,,,,137.599,138.1746,3,0.569,,0,21,21,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,139.8162,140.8609,,,,,,,,,,,,,,,,,,139.2247,139.8161,3,0.584,,0,22,22,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,141.9988,143.0493,,,,,,,,,,,,,,,,,,140.8614,141.9987,3,1.1303,,0,23,23,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,143.961,145.0108,,,,,,,,,,,,,,,,,,143.0497,143.961,4,0.9046,,0,24,24,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,145.7328,146.7822,,,,,,,,,,,,,,,,,,145.0116,145.7327,4,0.7147,,0,25,25,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,148.4327,149.4776,,,,,,,,,,,,,,,,,,146.7826,148.4326,2,1.6452,,0,26,26,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,150.8578,151.9075,,,,,,,,,,,,,,,,,,149.478,150.8577,4,1.3693,,0,27,27,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,152.7681,153.8158,,,,,,,,,,,,,,,,,,151.9078,152.768,4,0.8565,,0,28,28,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,154.7239,155.7742,,,,,,,,,,,,,,,,,,153.8162,154.7238,4,0.9036,,0,29,29,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,156.3573,157.4075,,,,,,,,,,,,,,,,,,155.7745,156.3572,4,0.5739,,0,30,30,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,158.2745,159.3263,,,,,,,,,,,,,,,,,,157.408,158.2744,4,0.8597,,0,31,31,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,160.0577,161.1071,,,,,,,,,,,,,,,,,,159.3271,160.0576,4,0.7191,,0,32,32,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,161.6909,162.7403,,,,,,,,,,,,,,,,,,161.1076,161.6907,4,0.5756,,0,33,33,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,164.4575,165.5026,,,,,,,,,,,,,,,,,,162.7407,164.4574,2,1.7128,,0,34,34,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,166.5661,167.6185,,,,,,,,,,,,,,,,,,165.5036,166.566,4,1.0553,,0,35,35,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14593,001,28,w,2026-07-04_13h27.09.896,Mixed_Gamble_Task,2026.1.3,MacIntel,119.047619,,,,,,,,,,,168.5076,169.5574,,,,,,,,,,,,,,,,,,167.619,168.5075,4,0.8842,,0,36,36,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
