instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,key_resp_one.rt,key_resp_one.duration,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,key_resp_three.rt,key_resp_three.duration,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,43.3676,44.4204,42.6978,43.3671,2,0,6,6,3,1,30,7,0.6455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,44.7711,45.8194,44.4212,44.7709,3,0,7,7,6,1,28,16,0.3343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,46.0803,47.1344,45.8202,46.0801,2,0,8,8,4,1,36,18,0.2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,47.7444,48.8024,47.1348,47.7439,3,0,9,9,1,1,18,9,0.5891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,48.8031,51.3422,space,2.4942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,51.3423,52.3919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,55.4011,56.4405,,,,,,,,,,,,,,,,,,52.3986,55.4009,,0,0,0,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,59.1335,60.1725,,,,,,,,,,,,,,,,,,56.4431,59.1334,1,0,1,1,8,1,34,15,2.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,60.9745,62.0283,,,,,,,,,,,,,,,,,,60.1745,60.9744,2,0,2,2,19,1,32,18,0.7763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,64.665,65.7045,,,,,,,,,,,,,,,,,,62.0288,64.6648,3,0,3,3,17,1,10,7,2.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,66.9629,68.0055,,,,,,,,,,,,,,,,,,65.7066,66.9628,3,0,4,4,28,1,26,13,1.2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,68.8062,69.8518,,,,,,,,,,,,,,,,,,68.0062,68.8059,2,0,5,5,21,1,28,12,0.7773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,71.562,72.6018,,,,,,,,,,,,,,,,,,69.8538,71.5619,3,0,6,6,27,1,30,17,1.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,74.1783,75.2263,,,,,,,,,,,,,,,,,,72.6037,74.1782,4,0,7,7,9,1,22,5,1.5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,77.2849,78.3324,,,,,,,,,,,,,,,,,,75.2274,77.2844,3,0,8,8,39,1,12,10,2.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,79.6744,80.7147,,,,,,,,,,,,,,,,,,78.3344,79.6743,2,0,9,9,20,1,18,9,1.3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,82.1236,83.1639,,,,,,,,,,,,,,,,,,80.7162,82.1236,3,0,10,10,18,1,24,20,1.3842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,85.2804,86.3386,,,,,,,,,,,,,,,,,,83.1654,85.2803,4,0,11,11,40,1,40,18,2.0916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,86.9713,88.0131,,,,,,,,,,,,,,,,,,86.3391,86.9713,1,0,12,12,41,1,22,13,0.6172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,88.3967,89.4362,,,,,,,,,,,,,,,,,,88.0152,88.3965,2,0,13,13,36,1,18,19,0.3573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,89.7537,90.7945,,,,,,,,,,,,,,,,,,89.4366,89.7536,3,0,14,14,7,1,28,10,0.3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,91.7041,92.744,,,,,,,,,,,,,,,,,,90.7963,91.704,4,0,15,15,2,1,32,6,0.8836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,93.219,94.2598,,,,,,,,,,,,,,,,,,92.7459,93.2189,1,0,16,16,6,1,16,20,0.4505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,94.7187,95.7593,,,,,,,,,,,,,,,,,,94.2613,94.7186,2,0,17,17,11,1,30,11,0.4338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,96.385,97.43,,,,,,,,,,,,,,,,,,95.7608,96.3849,4,0,18,18,12,1,18,13,0.6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,97.9599,99.0086,,,,,,,,,,,,,,,,,,97.4302,97.9596,3,0,19,19,38,1,34,7,0.5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,99.4675,100.5082,,,,,,,,,,,,,,,,,,99.0101,99.4673,2,0,20,20,13,1,40,8,0.4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,101.0504,102.0953,,,,,,,,,,,,,,,,,,100.5104,101.0503,1,0,21,21,35,1,32,8,0.5178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,102.7329,103.7735,,,,,,,,,,,,,,,,,,102.0958,102.7329,2,0,22,22,16,1,36,14,0.6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,104.2141,105.2651,,,,,,,,,,,,,,,,,,103.7751,104.2141,1,0,23,23,34,1,24,14,0.4161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,105.7323,106.7728,,,,,,,,,,,,,,,,,,105.2655,105.7322,2,0,24,24,32,1,36,20,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,108.8643,109.9048,,,,,,,,,,,,,,,,,,106.7744,108.8642,2,0,25,25,1,1,14,9,2.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,110.3604,111.4048,,,,,,,,,,,,,,,,,,109.9064,110.3603,2,0,26,26,15,1,14,5,0.4306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,111.9801,113.0289,,,,,,,,,,,,,,,,,,111.4068,111.9799,3,0,27,27,26,1,16,8,0.5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,113.5711,114.6196,,,,,,,,,,,,,,,,,,113.0293,113.5708,3,0,28,28,23,1,12,6,0.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,116.5359,117.5852,,,,,,,,,,,,,,,,,,114.6201,116.5357,4,0,29,29,30,1,20,10,1.9007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,119.5682,120.6175,,,,,,,,,,,,,,,,,,117.5856,119.5681,2,0,30,30,42,1,16,6,1.9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,121.0509,122.1003,,,,,,,,,,,,,,,,,,120.6179,121.0508,3,0,31,31,4,1,24,12,0.4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,125.1163,126.1658,,,,,,,,,,,,,,,,,,122.1008,125.1162,,0,32,32,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,126.4658,127.5152,,,,,,,,,,,,,,,,,,126.1662,126.4658,2,0,33,33,24,1,40,16,0.2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,128.0487,129.0986,,,,,,,,,,,,,,,,,,127.5156,128.0486,2,0,34,34,37,1,28,16,0.5195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17185,001,20,w,2026-06-24_15h37.26.697,Mixed_Gamble_Task,2026.1.3,Win32,61.72839506,,,,,,,,,,,129.4149,130.4644,,,,,,,,,,,,,,,,,,129.0991,129.4148,3,0,35,35,0,1,20,17,0.3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
