instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,key_resp_one.rt,key_resp_one.duration,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,survey.block_1/question4.I balance my own needs with the needs of others.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,63.98,65.031,60.979,63.98,,0,6,6,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,68.048,69.098,65.031,68.048,,0,7,7,9,1,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,72.099,73.149,69.098,72.099,,0,8,8,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,76.167,77.217,73.15,76.167,,0,9,9,8,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,77.222,81.235,space,3.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,81.235,82.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,85.304,86.353,,,,,,,,,,,,,,,,82.288,85.304,,0,0,0,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,89.372,90.421,,,,,,,,,,,,,,,,86.354,89.371,,0,1,1,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,93.422,94.472,,,,,,,,,,,,,,,,90.421,93.422,,0,2,2,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,97.49,98.54,,,,,,,,,,,,,,,,94.472,97.49,,0,3,3,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,100.141,101.191,,,,,,,,,,,,,,,,98.54,100.141,1,0,4,4,32,1,36,20,1.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,102.991,104.042,,,,,,,,,,,,,,,,101.191,102.991,2,0,5,5,28,1,26,13,1.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,105.326,106.376,,,,,,,,,,,,,,,,104.042,105.326,4,0,6,6,13,1,40,8,1.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,107.693,108.743,,,,,,,,,,,,,,,,106.377,107.693,1,0,7,7,36,1,18,19,1.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,109.86,110.91,,,,,,,,,,,,,,,,108.744,109.86,3,0,8,8,26,1,16,8,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,112.528,113.578,,,,,,,,,,,,,,,,110.911,112.527,3,0,9,9,40,1,40,18,1.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,114.562,115.612,,,,,,,,,,,,,,,,113.578,114.562,1,0,10,10,33,1,10,11,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,116.528,117.579,,,,,,,,,,,,,,,,115.612,116.528,2,0,11,11,10,1,12,18,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,119.129,120.18,,,,,,,,,,,,,,,,117.579,119.129,2,0,12,12,41,1,22,13,1.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,121.28,122.33,,,,,,,,,,,,,,,,120.18,121.28,3,0,13,13,14,1,26,16,1.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,123.146,124.197,,,,,,,,,,,,,,,,122.33,123.146,4,0,14,14,35,1,32,8,0.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,125.199,126.248,,,,,,,,,,,,,,,,124.198,125.198,3,0,15,15,15,1,14,5,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,127.582,128.632,,,,,,,,,,,,,,,,126.248,127.582,1,0,16,16,18,1,24,20,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,129.949,130.999,,,,,,,,,,,,,,,,128.632,129.949,2,0,17,17,24,1,40,16,1.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,131.866,132.917,,,,,,,,,,,,,,,,131,131.866,3,0,18,18,12,1,18,13,0.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,133.884,134.933,,,,,,,,,,,,,,,,132.917,133.884,3,0,19,19,8,1,34,15,0.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,135.934,136.984,,,,,,,,,,,,,,,,134.934,135.934,3,0,20,20,16,1,36,14,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,138.102,139.151,,,,,,,,,,,,,,,,136.984,138.102,2,0,21,21,17,1,10,7,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,140.403,141.452,,,,,,,,,,,,,,,,139.152,140.402,2,0,22,22,30,1,20,10,1.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,142.536,143.586,,,,,,,,,,,,,,,,141.452,142.535,3,0,23,23,19,1,32,18,1.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,144.97,146.02,,,,,,,,,,,,,,,,143.587,144.97,3,0,24,24,23,1,12,6,1.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,147.237,148.288,,,,,,,,,,,,,,,,146.021,147.237,4,0,25,25,22,1,34,19,1.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,149.687,150.738,,,,,,,,,,,,,,,,148.288,149.687,2,0,26,26,1,1,14,9,1.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,151.355,152.405,,,,,,,,,,,,,,,,150.738,151.355,3,0,27,27,9,1,22,5,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,153.255,154.306,,,,,,,,,,,,,,,,152.406,153.255,3,0,28,28,37,1,28,16,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,155.29,156.341,,,,,,,,,,,,,,,,154.306,155.29,3,0,29,29,11,1,30,11,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,157.207,158.257,,,,,,,,,,,,,,,,156.341,157.207,3,0,30,30,38,1,34,7,0.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,158.958,160.008,,,,,,,,,,,,,,,,158.257,158.958,3,0,31,31,25,1,22,11,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,161.025,162.076,,,,,,,,,,,,,,,,160.008,161.025,1,0,32,32,3,1,10,19,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,163.242,164.292,,,,,,,,,,,,,,,,162.076,163.242,2,0,33,33,42,1,16,6,1.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,165.659,166.71,,,,,,,,,,,,,,,,164.293,165.659,2,0,34,34,27,1,30,17,1.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,167.527,168.577,,,,,,,,,,,,,,,,166.71,167.527,2,0,35,35,31,1,14,17,0.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,169.678,170.728,,,,,,,,,,,,,,,,168.577,169.678,1,0,36,36,0,1,20,17,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,171.911,172.961,,,,,,,,,,,,,,,,170.728,171.911,4,0,37,37,29,1,38,15,1.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8920,001,22,w,2026-07-10_15h33.36.077,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,173.846,174.896,,,,,,,,,,,,,,,,172.961,173.846,4,0,38,38,5,1,38,7,0.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
