instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,110.237,111.274,,,,,,,,,,,,,,,,,,110.075,110.236,2,0.15,,0,16,16,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,113.004,114.056,,,,,,,,,,,,,,,,,,111.276,113.003,3,1.711,,0,17,17,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,115.556,116.616,,,,,,,,,,,,,,,,,,114.057,115.556,3,1.488,,0,18,18,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,117.746,118.784,,,,,,,,,,,,,,,,,,116.622,117.746,4,1.112,,0,19,19,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,120.255,121.3,,,,,,,,,,,,,,,,,,118.785,120.255,1,1.465,,0,20,20,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,122.92,123.96,,,,,,,,,,,,,,,,,,121.301,122.92,1,1.611,,0,21,21,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,125.45,126.508,,,,,,,,,,,,,,,,,,123.961,125.45,2,1.468,,0,22,22,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,127.855,128.902,,,,,,,,,,,,,,,,,,126.51,127.853,4,1.324,,0,23,23,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,129.497,130.542,,,,,,,,,,,,,,,,,,128.906,129.497,4,0.574,,0,24,24,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,131.978,133.025,,,,,,,,,,,,,,,,,,130.544,131.977,3,1.419,,0,25,25,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,134.513,135.557,,,,,,,,,,,,,,,,,,133.029,134.512,4,1.469,,0,26,26,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,136.661,137.706,,,,,,,,,,,,,,,,,,135.56,136.661,1,1.086,,0,27,27,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,138.66,139.714,,,,,,,,,,,,,,,,,,137.707,138.659,1,0.938,,0,28,28,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,142.077,143.12,,,,,,,,,,,,,,,,,,139.718,142.076,1,2.343,,0,29,29,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,144.482,145.532,,,,,,,,,,,,,,,,,,143.124,144.481,2,1.344,,0,30,30,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,147.785,148.831,,,,,,,,,,,,,,,,,,145.532,147.784,1,2.245,,0,31,31,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,150.443,151.49,,,,,,,,,,,,,,,,,,148.832,150.443,4,1.601,,0,32,32,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,152.164,153.196,,,,,,,,,,,,,,,,,,151.491,152.164,4,0.662,,0,33,33,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,154.733,155.781,,,,,,,,,,,,,,,,,,153.2,154.733,3,1.517,,0,34,34,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,157.84,158.89,,,,,,,,,,,,,,,,,,155.782,157.84,4,2.047,,0,35,35,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,159.673,160.719,,,,,,,,,,,,,,,,,,158.891,159.673,4,0.775,,0,36,36,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,162.45,163.5,,,,,,,,,,,,,,,,,,160.721,162.449,3,1.716,,0,37,37,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,165.63,166.682,,,,,,,,,,,,,,,,,,163.504,165.63,3,2.12,,0,38,38,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,167.824,168.863,,,,,,,,,,,,,,,,,,166.682,167.824,1,1.131,,0,39,39,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,170.31,171.361,,,,,,,,,,,,,,,,,,168.864,170.31,1,1.44,,0,40,40,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,174.365,175.413,,,,,,,,,,,,,,,,,,171.362,174.365,,,,0,41,41,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,176.621,177.666,,,,,,,,,,,,,,,,,,175.416,176.62,2,1.191,,0,42,42,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.668,180.235,space,2.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,180.235,181.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,182.43,183.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.297,182.43,3,1.105,,0,0,0,13,1,40,6,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,185.098,186.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.471,185.098,2,1.613,,0,1,1,14,1,22,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,187.726,188.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.151,187.725,2,1.567,,0,2,2,32,1,30,13,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,190.646,191.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.783,190.646,2,1.848,,0,3,3,26,1,28,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,192.62,193.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.699,192.619,4,0.906,,0,4,4,27,1,34,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,195.335,196.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.666,195.334,3,1.653,,0,5,5,25,1,18,11,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,199.276,200.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.388,199.275,2,2.871,,0,6,6,17,1,26,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,201.247,202.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.335,201.246,4,0.89,,0,7,7,23,1,24,6,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,202.903,203.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.3,202.902,4,0.586,,0,8,8,42,1,28,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,205.456,206.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.958,205.456,4,1.486,,0,9,9,29,1,40,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,207.25,208.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.508,207.249,4,0.723,,0,10,10,4,1,14,7,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,209.536,210.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.294,209.535,4,1.229,,0,11,11,24,1,32,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,211.732,212.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.591,211.732,4,1.129,,0,12,12,19,1,20,7,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,213.901,214.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.783,213.901,4,1.105,,0,13,13,2,1,38,11,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,216.11,217.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.954,216.109,4,1.141,,0,14,14,5,1,36,16,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,218.66,219.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.15,218.658,3,1.498,,0,15,15,39,1,24,16,,,,,,,,,,,,,,,,,,,,,,
