instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,46.1111,47.1592,44.8279,46.111,2,0,6,6,4,1,36,18,1.2677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,47.9764,49.0182,47.1601,47.9762,2,0,7,7,6,1,28,16,0.8002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,51.2091,52.2556,49.0202,51.209,4,0,8,8,0,1,12,6,2.1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,53.2914,54.3324,52.2567,53.2913,3,0,9,9,1,1,18,9,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,54.3343,66.5278,space,12.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,66.5279,67.5763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,69.2009,70.2487,,,,,,,,,,,,,,,,,,67.5855,69.2007,1,1.5698,,0,0,0,13,1,40,8,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,71.5657,72.6137,,,,,,,,,,,,,,,,,,70.25,71.5657,1,1.3004,,0,1,1,32,1,36,20,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,74.3982,75.4396,,,,,,,,,,,,,,,,,,72.6148,74.3981,4,1.767,,0,2,2,1,1,14,9,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,76.8137,77.8616,,,,,,,,,,,,,,,,,,75.4414,76.8137,2,1.3502,,0,3,3,10,1,12,18,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,79.0627,80.1111,,,,,,,,,,,,,,,,,,77.8627,79.0626,2,1.184,,0,4,4,0,1,20,17,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,81.4083,82.453,,,,,,,,,,,,,,,,,,80.112,81.4082,1,1.2807,,0,5,5,19,1,32,18,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,83.1104,84.1592,,,,,,,,,,,,,,,,,,82.4547,83.1103,2,0.6344,,0,6,6,3,1,10,19,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,85.5938,86.6409,,,,,,,,,,,,,,,,,,84.1603,85.5936,4,1.4179,,0,7,7,38,1,34,7,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,87.575,88.624,,,,,,,,,,,,,,,,,,86.6418,87.575,3,0.9169,,0,8,8,39,1,12,10,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,89.5245,90.5726,,,,,,,,,,,,,,,,,,88.6252,89.5244,3,0.8838,,0,9,9,33,1,10,11,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,91.7733,92.8198,,,,,,,,,,,,,,,,,,90.5737,91.7732,3,1.1837,,0,10,10,21,1,28,12,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,93.5059,94.5541,,,,,,,,,,,,,,,,,,92.8208,93.5058,2,0.6669,,0,11,11,34,1,24,14,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,95.8224,96.8693,,,,,,,,,,,,,,,,,,94.5551,95.8223,2,1.2503,,0,12,12,36,1,18,19,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,98.32,99.3623,,,,,,,,,,,,,,,,,,96.8703,98.3199,3,1.4334,,0,13,13,12,1,18,13,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,100.5693,101.6173,,,,,,,,,,,,,,,,,,99.3644,100.5693,2,1.1838,,0,14,14,37,1,28,16,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,102.8527,103.8935,,,,,,,,,,,,,,,,,,101.6184,102.8525,4,1.2182,,0,15,15,15,1,14,5,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,105.134,106.1829,,,,,,,,,,,,,,,,,,103.8953,105.1338,3,1.2169,,0,16,16,4,1,24,12,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,107.4328,108.4744,,,,,,,,,,,,,,,,,,106.184,107.4327,3,1.234,,0,17,17,8,1,34,15,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,109.9654,111.0138,,,,,,,,,,,,,,,,,,108.4766,109.9653,4,1.4669,,0,18,18,9,1,22,5,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,112.1904,113.2289,,,,,,,,,,,,,,,,,,111.0147,112.1902,4,1.1585,,0,19,19,35,1,32,8,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,114.4642,115.5045,,,,,,,,,,,,,,,,,,113.2298,114.4641,2,1.2183,,0,20,20,18,1,24,20,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,116.7292,117.7705,,,,,,,,,,,,,,,,,,115.5062,116.7291,2,1.2006,,0,21,21,29,1,38,15,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,118.7976,119.8369,,,,,,,,,,,,,,,,,,117.7727,118.7976,3,1.002,,0,22,22,17,1,10,7,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,121.4929,122.5392,,,,,,,,,,,,,,,,,,119.8391,121.4929,2,1.633,,0,23,23,20,1,18,9,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,123.2097,124.2512,,,,,,,,,,,,,,,,,,122.5402,123.2096,1,0.6511,,0,24,24,16,1,36,14,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,125.0926,126.1397,,,,,,,,,,,,,,,,,,124.2536,125.0924,2,0.818,,0,25,25,25,1,22,11,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,127.0573,128.1053,,,,,,,,,,,,,,,,,,126.1405,127.0573,1,0.9005,,0,26,26,6,1,16,20,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,128.7081,129.7547,,,,,,,,,,,,,,,,,,128.1065,128.708,2,0.5855,,0,27,27,26,1,16,8,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,130.706,131.7471,,,,,,,,,,,,,,,,,,129.7555,130.7059,1,0.9344,,0,28,28,24,1,40,16,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,132.6047,133.6497,,,,,,,,,,,,,,,,,,131.7489,132.6047,2,0.8339,,0,29,29,22,1,34,19,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,134.7549,135.7972,,,,,,,,,,,,,,,,,,133.6507,134.7548,2,1.085,,0,30,30,11,1,30,11,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,136.3024,137.3515,,,,,,,,,,,,,,,,,,135.7986,136.3023,3,0.4829,,0,31,31,30,1,20,10,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,137.8685,138.9106,,,,,,,,,,,,,,,,,,137.3522,137.8684,4,0.5004,,0,32,32,2,1,32,6,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,139.9347,140.9834,,,,,,,,,,,,,,,,,,138.9129,139.9347,1,1.0002,,0,33,33,27,1,30,17,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,141.4843,142.5296,,,,,,,,,,,,,,,,,,140.9841,141.4841,1,0.484,,0,34,34,40,1,40,18,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,143.4163,144.4651,,,,,,,,,,,,,,,,,,142.5304,143.4163,2,0.8671,,0,35,35,23,1,12,6,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,145.5663,146.6138,,,,,,,,,,,,,,,,,,144.4661,145.5661,1,1.0841,,0,36,36,28,1,26,13,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,147.481,148.5269,,,,,,,,,,,,,,,,,,146.6146,147.481,3,0.8508,,0,37,37,7,1,28,10,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,149.6298,150.6719,,,,,,,,,,,,,,,,,,148.5277,149.6297,1,1.0829,,0,38,38,14,1,26,16,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,151.63,152.6711,,,,,,,,,,,,,,,,,,150.6741,151.6298,3,0.934,,0,39,39,42,1,16,6,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,153.5285,154.5764,,,,,,,,,,,,,,,,,,152.673,153.5284,4,0.8338,,0,40,40,5,1,38,7,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,155.6444,156.6917,,,,,,,,,,,,,,,,,,154.5774,155.6443,2,1.0509,,0,41,41,41,1,22,13,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,158.0087,159.0575,,,,,,,,,,,,,,,,,,156.6921,158.0086,2,1.2998,,0,42,42,31,1,14,17,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0582,164.8328,space,5.7403,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,164.833,165.8811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,168.8995,169.9469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.8876,168.8994,,0,0,0,28,1,12,14
