instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,key_resp_one.rt,key_resp_one.duration,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,79.027,80.076,76.025,79.027,,0,6,6,3,1,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,83.095,84.145,80.077,83.095,,0,7,7,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,87.147,88.197,84.145,87.147,,0,8,8,8,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,91.199,92.248,88.197,91.199,,0,9,9,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,,,,,,,,,,,,,92.254,96.384,space,4.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,96.384,97.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,100.453,101.503,,,,,,,,,,,,,,,,97.439,100.453,,0,0,0,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,103.238,104.287,,,,,,,,,,,,,,,,101.504,103.238,3,0,1,1,6,1,16,20,1.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,106.373,107.421,,,,,,,,,,,,,,,,104.288,106.373,4,0,2,2,39,1,12,10,2.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,109.408,110.457,,,,,,,,,,,,,,,,107.422,109.407,1,0,3,3,10,1,12,18,1.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,112.193,113.242,,,,,,,,,,,,,,,,110.458,112.192,3,0,4,4,21,1,28,12,1.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,114.176,115.226,,,,,,,,,,,,,,,,113.243,114.176,2,0,5,5,0,1,20,17,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,116.311,117.359,,,,,,,,,,,,,,,,115.226,116.311,4,0,6,6,11,1,30,11,1.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,119.214,120.262,,,,,,,,,,,,,,,,117.36,119.212,3,0,7,7,7,1,28,10,1.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,121.913,122.963,,,,,,,,,,,,,,,,120.262,121.913,3,0,8,8,26,1,16,8,1.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,123.947,124.998,,,,,,,,,,,,,,,,122.964,123.947,2,0,9,9,31,1,14,17,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,126.868,127.915,,,,,,,,,,,,,,,,124.998,126.868,4,0,10,10,38,1,34,7,1.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,128.833,129.883,,,,,,,,,,,,,,,,127.916,128.833,2,0,11,11,4,1,24,12,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,130.684,131.734,,,,,,,,,,,,,,,,129.884,130.684,3,0,12,12,2,1,32,6,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,133.035,134.085,,,,,,,,,,,,,,,,131.735,133.035,3,0,13,13,36,1,18,19,1.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,135.704,136.753,,,,,,,,,,,,,,,,134.086,135.704,3,0,14,14,23,1,12,6,1.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,138.071,139.121,,,,,,,,,,,,,,,,136.754,138.071,2,0,15,15,27,1,30,17,1.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,140.789,141.839,,,,,,,,,,,,,,,,139.121,140.789,2,0,16,16,12,1,18,13,1.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,143.691,144.74,,,,,,,,,,,,,,,,141.839,143.691,4,0,17,17,40,1,40,18,1.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,145.841,146.891,,,,,,,,,,,,,,,,144.741,145.841,3,0,18,18,24,1,40,16,1.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,148.158,149.208,,,,,,,,,,,,,,,,146.892,148.158,3,0,19,19,37,1,28,16,1.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,149.976,151.026,,,,,,,,,,,,,,,,149.209,149.976,2,0,20,20,9,1,22,5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,152.094,153.144,,,,,,,,,,,,,,,,151.027,152.094,3,0,21,21,33,1,10,11,1.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,154.662,155.714,,,,,,,,,,,,,,,,153.145,154.662,3,0,22,22,8,1,34,15,1.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,156.98,158.029,,,,,,,,,,,,,,,,155.715,156.98,2,0,23,23,14,1,26,16,1.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,159.448,160.498,,,,,,,,,,,,,,,,158.03,159.448,3,0,24,24,42,1,16,6,1.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,161.265,162.315,,,,,,,,,,,,,,,,160.499,161.265,3,0,25,25,22,1,34,19,0.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,163.199,164.249,,,,,,,,,,,,,,,,162.316,163.199,2,0,26,26,19,1,32,18,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,165.267,166.317,,,,,,,,,,,,,,,,164.249,165.267,3,0,27,27,32,1,36,20,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,167.818,168.868,,,,,,,,,,,,,,,,166.318,167.818,3,0,28,28,17,1,10,7,1.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,171.369,172.419,,,,,,,,,,,,,,,,168.869,171.369,1,0,29,29,35,1,32,8,2.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,174.055,175.104,,,,,,,,,,,,,,,,172.42,174.055,1,0,30,30,13,1,40,8,1.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,177.339,178.39,,,,,,,,,,,,,,,,175.105,177.339,3,0,31,31,20,1,18,9,2.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,180.323,181.374,,,,,,,,,,,,,,,,178.39,180.323,2,0,32,32,30,1,20,10,1.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,182.741,183.791,,,,,,,,,,,,,,,,181.374,182.741,1,0,33,33,34,1,24,14,1.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,184.876,185.926,,,,,,,,,,,,,,,,183.792,184.876,1,0,34,34,25,1,22,11,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,187.228,188.277,,,,,,,,,,,,,,,,185.927,187.227,1,0,35,35,16,1,36,14,1.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,189.445,190.496,,,,,,,,,,,,,,,,188.278,189.445,1,0,36,36,28,1,26,13,1.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,191.93,192.98,,,,,,,,,,,,,,,,190.496,191.93,1,0,37,37,3,1,10,19,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10333,001,25,w,2026-06-24_10h37.57.074,Mixed_Gamble_Task,2026.1.3,MacIntel,40,,,,,,,,,,,194.598,195.648,,,,,,,,,,,,,,,,192.98,194.598,1,0,38,38,18,1,24,20,1.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
