instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I advocate for my own needs.,survey.block_1/question3.I balance my own needs with the needs of others.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.",survey.block_1/question3.I take good care of myself.,"survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.",survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,66.2387,67.2767,,,,,,,,,,,,,,,,,,65.185,66.2387,3,1.0436,,0,5,5,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,67.9664,69.005,,,,,,,,,,,,,,,,,,67.2769,67.9663,4,0.6798,,0,6,6,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,70.1124,71.1598,,,,,,,,,,,,,,,,,,69.0054,70.1123,1,1.097,,0,7,7,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,72.2304,73.28,,,,,,,,,,,,,,,,,,71.1602,72.2304,3,1.0604,,0,8,8,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,74.7958,75.8416,,,,,,,,,,,,,,,,,,73.2803,74.7958,1,1.5061,,0,9,9,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,76.9041,77.9433,,,,,,,,,,,,,,,,,,75.8418,76.9041,3,1.052,,0,10,10,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,79.0816,80.123,,,,,,,,,,,,,,,,,,77.9436,79.0816,3,1.1284,,0,11,11,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,81.1679,82.2162,,,,,,,,,,,,,,,,,,80.1232,81.1679,1,1.0351,,0,12,12,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,83.3316,84.3785,,,,,,,,,,,,,,,,,,82.2164,83.3316,1,1.1046,,0,13,13,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,85.2431,86.2931,,,,,,,,,,,,,,,,,,84.3787,85.2431,4,0.8546,,0,14,14,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,87.1145,88.1562,,,,,,,,,,,,,,,,,,86.2934,87.1145,3,0.8116,,0,15,15,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,88.7306,89.7732,,,,,,,,,,,,,,,,,,88.1565,88.7305,4,0.5645,,0,16,16,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,90.1914,91.2463,,,,,,,,,,,,,,,,,,89.7735,90.1913,4,0.408,,0,17,17,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,91.8925,92.9377,,,,,,,,,,,,,,,,,,91.2466,91.8924,4,0.6356,,0,18,18,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,93.794,94.8461,,,,,,,,,,,,,,,,,,92.9379,93.7939,1,0.8465,,0,19,19,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,95.4384,96.4845,,,,,,,,,,,,,,,,,,94.8464,95.4384,4,0.5814,,0,20,20,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,97.2639,98.3065,,,,,,,,,,,,,,,,,,96.4848,97.2638,4,0.7688,,0,21,21,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,99.5462,100.5923,,,,,,,,,,,,,,,,,,98.3067,99.5461,4,1.2301,,0,22,22,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,101.6341,102.6885,,,,,,,,,,,,,,,,,,100.5925,101.6341,2,1.0319,,0,23,23,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,103.6364,104.6784,,,,,,,,,,,,,,,,,,102.6888,103.6364,2,0.9378,,0,24,24,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,105.532,106.5812,,,,,,,,,,,,,,,,,,104.6786,105.532,1,0.8437,,0,25,25,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,107.2108,108.2556,,,,,,,,,,,,,,,,,,106.5814,107.2107,1,0.6198,,0,26,26,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,108.8271,109.8786,,,,,,,,,,,,,,,,,,108.2558,108.827,1,0.5617,,0,27,27,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,110.8186,111.8608,,,,,,,,,,,,,,,,,,109.8789,110.8186,1,0.9299,,0,28,28,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,112.7463,113.7968,,,,,,,,,,,,,,,,,,111.861,112.7462,1,0.8751,,0,29,29,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,114.4278,115.4777,,,,,,,,,,,,,,,,,,113.797,114.4278,1,0.6212,,0,30,30,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,116.2118,117.2586,,,,,,,,,,,,,,,,,,115.478,116.2118,4,0.7238,,0,31,31,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,117.7107,118.7637,,,,,,,,,,,,,,,,,,117.2588,117.7106,1,0.4419,,0,32,32,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,119.3665,120.4046,,,,,,,,,,,,,,,,,,118.7638,119.3665,1,0.5933,,0,33,33,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,121.2657,122.3026,,,,,,,,,,,,,,,,,,120.4049,121.2657,1,0.8509,,0,34,34,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,122.7897,123.839,,,,,,,,,,,,,,,,,,122.3028,122.7896,1,0.4768,,0,35,35,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
