instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I advocate for my own needs.,survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,52.849,53.888,50.149,52.849,4,2.681,,0,6,6,2,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,56.269,57.309,53.889,56.269,4,2.36,,0,7,7,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,59.11,60.15,57.31,59.11,2,1.792,,0,8,8,7,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,62.531,63.57,60.151,62.531,2,2.37,,0,9,9,8,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,,,,,,,,,,,,,,,63.576,65.991,space,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,65.991,67.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,67.952,68.992,,,,,,,,,,,,,,,,,,67.037,67.952,4,0.888,,0,0,0,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,70.053,71.093,,,,,,,,,,,,,,,,,,68.993,70.053,4,1.047,,0,1,1,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,72.693,73.733,,,,,,,,,,,,,,,,,,71.094,72.693,2,1.58,,0,2,2,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,76.754,77.794,,,,,,,,,,,,,,,,,,73.734,76.754,,,,0,3,3,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,79.033,80.074,,,,,,,,,,,,,,,,,,77.795,79.033,4,1.22,,0,4,4,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,81.917,82.955,,,,,,,,,,,,,,,,,,80.074,81.917,2,1.82,,0,5,5,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,84.875,85.916,,,,,,,,,,,,,,,,,,82.956,84.875,3,1.899,,0,6,6,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,86.697,87.736,,,,,,,,,,,,,,,,,,85.916,86.697,4,0.758,,0,7,7,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,88.877,89.916,,,,,,,,,,,,,,,,,,87.738,88.877,3,1.118,,0,8,8,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,91.377,92.417,,,,,,,,,,,,,,,,,,89.917,91.377,4,1.441,,0,9,9,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,93.838,94.878,,,,,,,,,,,,,,,,,,92.418,93.838,2,1.41,,0,10,10,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,96.799,97.838,,,,,,,,,,,,,,,,,,94.878,96.799,4,1.901,,0,11,11,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,98.919,99.958,,,,,,,,,,,,,,,,,,97.838,98.919,4,1.071,,0,12,12,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,101.18,102.22,,,,,,,,,,,,,,,,,,99.959,101.18,3,1.199,,0,13,13,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,103.54,104.58,,,,,,,,,,,,,,,,,,102.22,103.54,3,1.301,,0,14,14,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,107.581,108.621,,,,,,,,,,,,,,,,,,104.581,107.581,,,,0,15,15,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,110.602,111.642,,,,,,,,,,,,,,,,,,108.622,110.602,3,1.965,,0,16,16,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,113.483,114.522,,,,,,,,,,,,,,,,,,111.642,113.482,1,1.823,,0,17,17,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,116.582,117.623,,,,,,,,,,,,,,,,,,114.523,116.582,3,2.043,,0,18,18,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,119.103,120.144,,,,,,,,,,,,,,,,,,117.624,119.103,2,1.471,,0,19,19,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,121.704,122.744,,,,,,,,,,,,,,,,,,120.144,121.704,3,1.542,,0,20,20,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,123.985,125.024,,,,,,,,,,,,,,,,,,122.745,123.985,2,1.22,,0,21,21,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,126.205,127.244,,,,,,,,,,,,,,,,,,125.024,126.205,3,1.161,,0,22,22,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,129.106,130.146,,,,,,,,,,,,,,,,,,127.245,129.106,2,1.84,,0,23,23,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,131.466,132.506,,,,,,,,,,,,,,,,,,130.146,131.465,3,1.3,,0,24,24,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,134.787,135.827,,,,,,,,,,,,,,,,,,132.507,134.787,3,2.259,,0,25,25,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,137.868,138.908,,,,,,,,,,,,,,,,,,135.828,137.868,3,2.02,,0,26,26,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,140.248,141.288,,,,,,,,,,,,,,,,,,138.908,140.248,3,1.324,,0,27,27,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,142.248,143.289,,,,,,,,,,,,,,,,,,141.289,142.248,4,0.94,,0,28,28,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,144.429,145.468,,,,,,,,,,,,,,,,,,143.289,144.429,3,1.121,,0,29,29,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,147.41,148.45,,,,,,,,,,,,,,,,,,145.469,147.41,3,1.931,,0,30,30,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,149.409,150.45,,,,,,,,,,,,,,,,,,148.45,149.409,3,0.94,,0,31,31,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,151.891,152.93,,,,,,,,,,,,,,,,,,150.451,151.891,3,1.422,,0,32,32,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,154.631,155.672,,,,,,,,,,,,,,,,,,152.931,154.631,3,1.683,,0,33,33,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,156.512,157.551,,,,,,,,,,,,,,,,,,155.672,156.512,3,0.831,,0,34,34,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,158.913,159.952,,,,,,,,,,,,,,,,,,157.552,158.912,3,1.34,,0,35,35,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,162.293,163.332,,,,,,,,,,,,,,,,,,159.952,162.293,3,2.321,,0,36,36,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18007,001,22,m,2026-06-24_12h27.51.368,Mixed_Gamble_Task,2026.1.3,MacIntel,50,,,,,,,,,,,165.034,166.074,,,,,,,,,,,,,,,,,,163.333,165.034,3,1.681,,0,37,37,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
